Episode,Average Distance,Starting Distance,Ratio,FPS,Iterations,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
16,192.22291563104827,244.78895518793982,0.7852597576694859,3.106143701857195,1,168.0540406703949,522,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,191.1414670609479,249.8739682319869,0.7649515010042549,3.1051781497430175,1,178.41166377067566,554,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,248.8384713673323,261.04345546654184,0.9532453932721793,3.105854493707439,1,188.99790740013123,587,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,269.72962798320214,283.32849058648867,0.9520031939776443,3.1067785416624356,1,199.56362891197205,620,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,333.6463433312505,478.50514956764357,0.6972680307259363,3.1074766306257855,1,210.13834619522095,653,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,310.0435760015657,327.8353245152206,0.9457296173316161,3.105811405639356,1,220.55428051948547,685,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,200.30844677045374,297.6071235706565,0.6730633472988675,3.1060122988962653,1,231.16457080841064,718,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,208.51606896407358,202.986513779419,1.0272409978461103,3.1065938995141282,1,241.74385976791382,751,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,241.22449889750328,281.38662960131796,0.8572706501345912,3.107157759852999,1,252.32062888145447,784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,272.52232520142263,211.74749113035554,1.2870156040415752,3.1069557459270403,1,262.9583640098572,817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,226.20845511853983,295.8530040408581,0.764597458970874,3.1071118489093683,1,273.5659484863281,850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,253.95793891993654,340.73221646990913,0.7453299883146335,3.101960578257354,1,284.0139253139496,881,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,346.60330826545805,246.89469582469178,1.4038507676631686,3.1014681639609227,1,294.37671184539795,913,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,267.1904401254667,248.133869943504,1.0767995525411407,3.1007692477729947,1,304.7630844116211,945,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,206.32936897480752,252.31502561833958,0.8177450727286787,3.100726579126559,1,315.0874400138855,977,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,302.09574523852694,380.27621540138426,0.7944113594368839,3.1011293689663457,1,325.68779945373535,1010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,179.71454309330483,446.46612413485525,0.4025267167616551,3.1009951663641973,1,336.02116227149963,1042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,256.6108421390023,231.81458107720488,1.1069659248636268,3.101376076137948,1,346.6203303337097,1075,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,175.87808586756668,242.29321080046796,0.7258894514068943,3.1013834404060105,1,356.93748331069946,1107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,129.51732575055797,219.10043359153812,0.5911322201763094,3.1003297483258865,1,367.3802764415741,1139,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,193.70512496460162,259.4166532819356,0.7466950271464712,3.1007676749915887,1,377.9709165096283,1172,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
