Episode,Average Distance
1706,150.34099148723539
1707,173.74782411935925
1708,90.72705657155115
1709,117.89618219297022
1710,145.2480874974192
1711,121.89508937437479
1712,100.65092275685316
1713,146.88964764900365
1714,97.38433654807068
1715,167.6381682349337
1716,126.42204886602657
1717,105.18613776816628
1718,110.42802663653244
1719,114.8828584943791
1720,125.06778529005983
1721,114.62128040913612
1722,137.21859705975857
1723,119.85367634467434
1724,139.88103940978462
1725,134.50262578034466
1726,114.65332993645008
1727,187.33824511303607
1728,204.92401382359293
1729,123.53570206284444
1730,180.4282500577749
1731,91.55859815234207
1732,113.01410048414853
1733,148.30377591721668
1734,91.46695291170498
1735,98.58499438450896
1736,128.08830119225206
1737,114.72597242975542
1738,142.8717370945813
1739,126.88227677437692
1740,115.34112972636112
1741,138.89671335776487
1742,184.65535463294046
1743,135.75868347682652
1744,99.67096616800828
1745,134.191016765166
1746,112.72934928311092
1747,225.41513803303707
1748,113.98790777183993
1749,109.87775648562568
1750,149.27750807401785
1751,101.81119496053185
1752,88.98761463135276
1753,157.05644612919497
1754,147.94928573574927
1755,127.15341887191661
1756,155.76541125938607
1757,105.85516558772831
1758,148.2759723028301
1759,119.5835256933969
1760,128.14554403925368
1761,123.48042984512205
1762,127.60957347917389
1763,181.45765842080826
1764,192.68136236206558
1765,111.78262534718667
1766,163.74815084081843
1767,101.99709814873938
1768,130.91222574864486
1769,144.48486827092273
1770,92.69658277420936
1771,125.0581460426889
1772,109.21435304550086
1773,108.56161595085484
1774,136.64791731762116
1775,154.35722344099642
1776,98.48319639006382
1777,143.4279806047872
1778,113.22348744030587
1779,95.92156139771336
1780,113.05136400060934
1781,121.18639437794262
1782,86.19848823407897
1783,135.92028170718862
1784,145.33618369454857
1785,169.18663100321663
1786,102.09715574560968
1787,92.55743184139675
1788,107.27842896472953
1789,182.0326293810301
1790,209.79718057479025
1791,140.18538766228505
1792,165.35753652351707
1793,128.73170879090446
1794,181.50441586035205
1795,116.69246647267352
1796,119.14225954455178
1797,104.6123763783996
1798,151.31071510696964
1799,167.96525072964377
1800,103.23015646817785
1801,112.27206005231386
1802,134.67598037898222
1803,138.1353766639331
1804,171.63004127881578
1805,199.27256699136612
1806,160.52752278602347
1807,152.62567583228264
1808,79.29173259542559
1809,108.163547762684
1810,98.5211747173959
1811,137.25484846862167
1812,207.20703595133068
1813,121.81979080266215
1814,191.3500452140733
1815,109.37197653321361
1816,133.54328716493774
1817,96.87293664557252
1818,149.16511246977794
1819,120.69056384527308
1820,83.34395788974165
1821,116.01537122932284
1822,106.07905922156489
1823,103.83915521475163
1824,118.52141014977501
1825,95.23567911771642
1826,144.630266533167
